U,2.,5.0.4.,3.
H,197.4834013605442,3,2
H,197.67690098261528,3,3
H,197.7736507936508,3,2
H,198.06390022675737,3,3
H,198.70244897959185,3,3
H,198.9346485260771,3,2
H,199.55384731670446,3,3
H,199.74734693877554,3,2
H,200.38589569161,3,3
H,200.5406953892668,3,2
H,201.12119425547996,3,3
H,201.314693877551,3,2
H,201.83714285714285,3,3
H,202.32089191232046,3,3
H,202.51439153439154,3,2
H,202.78529100529101,3,3
H,203.03684051398338,3,2
H,203.21099017384734,3,3
H,203.38513983371126,3,2
H,203.63668934240363,3,3
H,203.71408919123206,3,2
H,204.27523809523808,3,3
H,204.85573696145127,3,3
H,205.51363567649284,3,3
L,5,205.88198601662876,214.88198601662876
P,3,0.4.5.,11.5.7.
H,206.26828420256996,3,3
H,206.44243386243383,3,2
H,206.655283446712,3,3
H,206.82943310657595,3,2
H,207.04228269085414,3,3
H,207.1390325018896,3,2
H,207.7195313681028,3,3
H,208.26133030990175,3,3
H,208.93857898715044,3,3
H,209.1320786092214,3,2
H,209.86737717309143,3,3
H,210.73812547241116,3,3
H,210.9122751322751,3,2
H,211.10577475434619,3,3
H,211.24122448979588,3,2
H,211.45407407407407,3,3
H,211.51212396069533,3,2
H,212.13132275132276,3,3
H,213.17622071050644,3,3
H,213.35037037037037,3,2
H,213.52452003023433,3,3
H,213.7180196523054,3,2
H,213.93086923658348,3,3
H,214.00826908541194,3,2
H,214.7208843537415,3,3
H,215.63033257747546,3,3
H,215.82383219954653,3,2
H,215.97863189720337,3,3
H,216.1527815570673,3,2
H,216.42368102796675,3,3
H,216.46238095238098,3,2
H,217.21702947845802,3,3
H,218.18452758881332,3,3
H,219.84862433862435,3,2
H,220.91287226001515,3,3
H,222.07386999244144,3,2
H,222.92526832955406,3,3
H,224.06691609977324,3,2
H,225.13116402116404,3,3
L,0,227.10769085411943,238.10769085411943
P,3,0.4.5.,8.5.7.
H,229.15595616024186,3,3
H,231.07493575207863,3,2
H,233.10668178382465,3,2
H,235.08037792894933,3,3
H,236.0091761148904,3,2
H,237.01537414965986,3,3
H,237.94417233560094,3,2
H,238.93102040816328,3,3
H,239.4147694633409,3,2
H,239.85981859410427,3,3
H,240.38226757369623,3,2
H,240.9434164777022,3,3
H,241.50456538170818,3,2
L,5,242.15649848828403,249.15649848828403
P,3,0.4.5.,8.5.6.
H,242.1237641723356,3,3
H,243.16866213151928,3,2
H,243.69111111111113,3,3
H,244.3683597883598,3,2
H,244.96820861678,3,3
H,245.80025699168561,3,2
H,246.7097052154195,3,3
H,247.0773544973545,3,2
H,247.78996976568405,3,3
H,247.90606953892666,3,2
H,248.85421768707485,3,3
H,248.98966742252458,3,2
H,249.89911564625854,3,3
H,250.01521541950115,3,2
H,251.04076341647772,3,3
H,251.1375132275132,3,2
H,252.10501133786852,3,3
H,252.569410430839,3,2
H,253.90455782312924,3,3
H,255.2590551776266,3,2
H,256.30395313681026,3,3
H,257.07795162509456,3,2
H,257.9293499622072,3,3
H,259.8256462585034,3,2
H,260.2319954648526,3,2
H,261.1414436885866,3,2
H,262.0702418745276,3,2
H,263.79238851095994,3,2
H,265.9606160241876,3,3
H,267.9923620559336,3,2
H,268.9598601662888,3,3
H,269.5790589569161,3,2
H,270.68200680272116,3,3
H,271.7656046863191,3,2
H,274.1263000755859,3,3
H,276.2934958427816,3,2
L,0,276.16118669690087,285.16118669690087
P,3,0.4.5.,9.5.6.
H,278.18979213907795,3,3
H,280.20218820861686,3,2
H,282.15320105820115,3,3
H,283.0239493575209,3,2
H,283.9914474678761,3,3
H,284.90089569161006,3,2
H,285.9070937263795,3,3
H,286.42954270597136,3,2
H,286.8552418745276,3,3
H,287.2615910808769,3,2
H,288.03558956916106,3,3
H,288.9256878306879,3,3
H,289.21593726379444,3,2
H,289.6029365079366,3,3
H,289.8931859410431,3,2
H,290.8413340891913,3,3
H,291.94428193499624,3,3
H,292.2151814058958,3,2
H,292.62153061224495,3,3
